,date,SNFT,SNPT,SPFT,SPPT,SNeFT,SNPT,LNFT,LNPT,LPFT,LPPT,LNeFT,LNePT,TAoYW,Open,High,Low,Close,Volume
181,2021-09-29,5,2,9,7,33,0,3,1,12,13,10,1,96,417200.0,419719.0,415301.0,417165.0,8.0
182,2021-09-30,3,2,9,12,23,0,5,1,14,16,2,0,87,419311.0,419735.0,411005.0,411379.0,13.0
183,2021-10-01,3,2,10,9,28,2,0,1,9,12,2,0,78,412915.0,417653.0,410099.0,414878.0,10.0
184,2021-10-02,0,3,8,7,20,0,3,2,2,5,5,0,55,413658.6666666667,417370.0,410494.6666666667,414098.6666666667,11.333333333333334
185,2021-10-03,1,3,13,12,16,0,3,0,9,12,10,1,80,414402.3333333334,417087.0,410890.3333333334,413319.3333333334,12.666666666666668
186,2021-10-04,2,1,11,7,15,0,4,1,12,16,4,0,73,415146.00000000006,416804.0,411286.00000000006,412540.00000000006,14.000000000000002
187,2021-10-05,6,5,9,17,28,5,4,0,12,6,3,0,95,413313.0,420959.0,411659.0,418539.0,9.0
188,2021-10-06,1,2,11,18,24,0,0,0,22,17,7,1,103,416406.0,421900.0,413662.0,421900.0,11.0
189,2021-10-07,1,1,12,21,22,1,2,1,19,11,5,0,96,424999.0,428655.0,423516.0,425431.0,12.0
190,2021-10-08,4,1,14,13,26,5,1,0,19,14,4,0,101,425643.0,428479.0,424000.0,427765.0,13.0
191,2021-10-09,2,2,9,16,43,1,4,1,14,17,6,1,116,426152.6666666667,428914.6666666667,423666.6666666667,426176.6666666667,14.0
192,2021-10-10,1,3,12,12,27,0,3,3,11,13,6,1,92,426662.3333333334,429350.3333333334,423333.3333333334,424588.3333333334,15.0
193,2021-10-11,3,1,11,11,17,3,3,2,11,20,4,1,87,427172.00000000006,429786.00000000006,423000.00000000006,423000.00000000006,16.0
194,2021-10-12,6,2,12,12,34,0,1,0,18,18,2,0,105,423252.0,424859.0,419000.0,419596.0,11.0
195,2021-10-13,7,3,10,9,27,1,3,3,20,13,1,0,97,417906.0,422180.0,415265.0,418402.0,12.0
196,2021-10-14,7,1,23,11,30,1,3,1,20,13,4,0,114,420866.0,427379.0,420750.0,423648.0,12.0
197,2021-10-15,9,2,22,12,24,0,2,1,20,10,7,0,109,429300.0,429300.0,424945.0,427701.0,12.0
198,2021-10-16,5,1,16,9,21,1,1,1,16,10,4,0,85,429183.3333333333,429183.3333333333,424630.3333333333,427197.0,13.0
199,2021-10-17,5,1,9,5,16,2,0,2,9,11,6,2,68,429066.6666666666,429066.6666666666,424315.6666666666,426693.0,14.0
200,2021-10-18,8,3,9,7,28,2,2,2,20,17,2,1,101,428950.0,428950.0,424001.0,426189.0,15.0
201,2021-10-19,5,3,16,10,30,1,1,1,13,12,13,0,105,429335.0,429500.0,425841.0,428105.0,13.0
202,2021-10-20,8,3,8,10,37,2,2,1,20,25,8,0,124,428113.0,433000.0,426111.0,432495.0,17.0
203,2021-10-21,6,7,11,11,34,0,3,0,14,23,9,0,118,432689.0,434800.0,429436.0,431680.0,14.0
204,2021-10-22,6,3,14,15,47,1,2,2,26,23,8,1,148,431720.0,436203.0,429715.0,435722.0,15.0
205,2021-10-23,5,1,13,14,23,0,2,2,5,10,6,1,82,433134.3333333333,436517.0,430831.3333333333,435948.3333333333,16.0
206,2021-10-24,3,1,11,12,25,1,2,3,18,11,4,0,91,434548.6666666666,436831.0,431947.6666666666,436174.6666666666,17.0
207,2021-10-25,6,4,13,11,30,1,1,0,18,12,3,2,101,435963.0,437145.0,433064.0,436401.0,18.0
208,2021-10-26,8,3,13,19,58,0,5,2,20,24,9,0,161,437165.0,439850.0,435446.0,437890.0,19.0
209,2021-10-27,29,10,27,14,73,3,6,5,28,23,19,1,238,437527.0,439229.0,433050.0,433050.0,32.0
210,2021-10-28,8,7,15,18,34,1,7,4,29,20,8,1,152,434703.0,436874.0,432516.0,436250.0,24.0
211,2021-10-29,8,5,15,26,37,0,4,3,27,12,5,0,142,435053.0,436512.0,431714.0,432902.0,21.0
212,2021-10-30,9,1,13,19,26,2,5,2,15,20,6,1,119,434873.0,436308.0,431316.6666666667,432249.3333333333,21.666666666666668
213,2021-10-31,4,5,11,19,23,2,4,2,13,10,2,1,96,434693.0,436104.0,430919.3333333334,431596.6666666666,22.333333333333336
214,2021-11-01,4,3,12,12,23,1,2,2,17,11,8,1,96,434513.0,435900.0,430522.00000000006,430944.0,23.000000000000004
215,2021-11-02,5,4,10,14,46,2,2,2,34,15,5,1,140,434440.0,434654.0,429800.0,434245.0,17.0
216,2021-11-03,6,1,13,18,30,3,7,3,20,12,7,1,121,433425.0,435140.0,431164.0,435020.0,14.0
217,2021-11-04,4,2,13,16,51,2,8,3,23,14,2,1,139,436463.0,438299.0,429880.0,433102.0,20.0
218,2021-11-05,3,5,14,15,54,0,7,1,25,17,9,1,151,434887.0,437749.0,432114.0,434000.0,17.0
219,2021-11-06,20,4,35,24,204,4,14,6,28,14,14,3,370,436474.3333333333,440166.0,432993.3333333333,434400.0,20.666666666666668
220,2021-11-07,7,3,28,14,89,1,5,3,24,9,20,1,204,438061.6666666666,442583.0,433872.6666666666,434800.0,24.333333333333336
221,2021-11-08,7,3,31,21,98,1,3,3,33,18,10,1,229,439649.0,445000.0,434752.0,435200.0,28.000000000000004
222,2021-11-09,6,7,27,15,46,2,5,3,21,16,6,2,156,435345.0,437240.0,430099.0,431680.0,21.0
223,2021-11-10,0,3,15,12,33,1,8,3,20,16,8,2,121,431420.0,433409.0,428940.0,430602.0,17.0
224,2021-11-11,4,4,19,24,53,1,10,2,18,12,4,1,152,431800.0,434399.0,428694.0,429202.0,14.0
225,2021-11-12,1,3,13,19,49,0,3,3,22,20,6,2,141,432614.0,432899.0,427664.0,431575.0,12.0
226,2021-11-13,4,3,6,8,22,1,3,0,14,14,4,2,81,432473.6666666667,433377.6666666667,428135.6666666667,430817.3333333333,14.0
227,2021-11-14,4,5,14,5,17,3,2,3,12,8,5,0,78,432333.3333333334,433856.3333333334,428607.3333333334,430059.6666666666,16.0
228,2021-11-15,5,6,17,31,45,3,3,1,17,16,8,0,152,432193.00000000006,434335.00000000006,429079.00000000006,429302.0,18.0
229,2021-11-16,5,2,28,15,57,4,8,0,22,18,9,1,169,429638.0,431849.0,427120.0,427702.0,15.0
230,2021-11-17,3,0,15,11,44,1,6,3,12,23,5,1,124,427651.0,429710.0,424201.0,426198.0,18.0
231,2021-11-18,1,2,13,21,53,3,4,3,13,13,8,0,134,428429.0,428429.0,422223.0,422702.0,16.0
232,2021-11-19,6,3,13,15,27,1,4,1,23,14,11,2,120,422901.0,424300.0,420000.0,423374.0,16.0
233,2021-11-20,1,1,8,10,26,0,1,0,10,12,6,0,75,423675.6666666667,426866.6666666667,420845.0,425616.0,17.0
234,2021-11-21,0,2,5,4,15,1,6,0,10,14,5,0,62,424450.3333333334,429433.3333333334,421690.0,427858.0,18.0
235,2021-11-22,10,3,5,13,27,1,1,3,23,11,5,1,103,425225.00000000006,432000.00000000006,422535.0,430100.0,19.0
236,2021-11-23,2,2,13,8,28,1,4,0,17,16,10,2,103,432837.0,435365.0,430100.0,434921.0,24.0
237,2021-11-24,3,4,7,15,29,1,2,0,12,7,1,2,83,434643.0,437139.0,431497.0,433333.0,15.0
238,2021-11-25,3,2,13,23,25,2,3,1,10,11,2,2,97,429438.0,433471.0,426294.0,430583.0,15.5
239,2021-11-26,3,4,8,10,16,0,5,4,16,11,4,2,83,424233.0,429803.0,421091.0,427833.0,16.0
240,2021-11-27,0,0,7,12,23,1,1,1,19,6,9,1,80,425838.0,430580.3333333333,422394.0,426975.3333333333,17.0
241,2021-11-28,1,0,3,13,8,1,2,0,3,5,3,0,39,427443.0,431357.6666666666,423697.0,426117.6666666666,18.0
242,2021-11-29,6,3,6,17,26,11,3,3,15,14,7,0,111,429048.0,432135.0,425000.0,425260.0,19.0
243,2021-11-30,3,2,9,8,34,2,4,3,15,13,5,1,99,423823.0,426125.0,416546.0,416876.0,19.0
244,2021-12-01,5,1,6,12,33,2,3,1,15,11,4,0,93,421535.0,424669.0,415000.0,415660.0,20.0
245,2021-12-02,2,0,8,16,34,1,4,1,20,17,3,0,106,417776.0,422999.0,415526.0,420566.0,12.0
246,2021-12-03,4,19,14,28,75,4,34,9,27,16,7,4,241,421420.0,426000.0,416100.0,418676.0,17.0
247,2021-12-04,5,9,13,13,40,1,10,7,17,25,8,2,150,422013.6666666667,426666.6666666667,417400.0,421184.0,17.0
248,2021-12-05,3,1,7,16,19,0,5,1,20,24,6,1,103,422607.3333333334,427333.3333333334,418700.0,423692.0,17.0
249,2021-12-06,4,4,8,6,33,1,8,3,16,21,5,1,110,423201.00000000006,428000.00000000006,420000.0,426200.0,17.0
250,2021-12-07,5,1,13,13,37,0,1,1,28,13,10,1,123,430739.0,431679.0,426200.0,429830.0,13.0
251,2021-12-08,3,2,8,14,20,1,3,1,16,12,0,3,83,430115.0,432745.0,426000.0,427405.0,12.0
252,2021-12-09,4,4,9,12,35,0,2,0,15,12,5,1,99,428933.0,430650.0,425414.0,428402.0,13.0
253,2021-12-10,2,5,15,13,30,1,1,0,24,13,7,0,111,431254.0,435000.0,428402.0,435000.0,16.0
254,2021-12-11,2,5,9,14,21,1,3,2,11,16,7,0,91,432789.6666666667,436566.6666666667,429245.3333333333,435910.0,17.666666666666668
255,2021-12-12,2,0,10,8,20,0,0,1,8,8,2,0,59,434325.3333333334,438133.3333333334,430088.6666666666,436820.0,19.333333333333336
256,2021-12-13,7,3,10,13,28,1,0,4,18,19,3,0,106,435861.00000000006,439700.00000000006,430932.0,437730.0,21.000000000000004
257,2021-12-14,2,1,10,23,35,0,4,3,17,23,7,2,127,436865.0,446724.0,434981.0,446104.0,22.0
258,2021-12-15,2,4,8,27,36,1,4,1,18,13,10,0,124,445928.0,447794.0,441611.0,443702.0,25.0
259,2021-12-16,3,2,20,15,33,1,2,4,10,14,2,2,108,447540.0,454550.0,444655.0,454550.0,22.0
260,2021-12-17,2,3,16,26,33,2,2,2,21,12,7,1,127,448850.0,449949.0,441200.0,443304.0,23.0
261,2021-12-18,1,3,11,10,18,0,3,1,13,14,3,1,78,445330.0,446615.6666666667,438818.3333333333,441351.0,21.33333333333333
262,2021-12-19,2,2,4,14,23,1,1,3,9,12,3,1,75,441810.0,443282.3333333334,436436.6666666666,439398.0,19.666666666666664
263,2021-12-20,6,2,6,12,34,0,2,2,19,14,2,1,100,438290.0,439949.00000000006,434055.0,437445.0,17.999999999999996
264,2021-12-21,2,1,13,18,21,0,3,2,22,16,7,1,106,441315.0,445379.0,439385.0,443000.0,13.0
265,2021-12-22,2,3,11,16,31,16,4,2,20,8,6,3,122,441460.0,444588.0,440300.0,444588.0,12.0
266,2021-12-23,3,3,10,12,18,1,4,1,21,12,4,0,89,445395.0,448250.0,443525.0,444654.0,15.0
267,2021-12-24,2,1,9,12,26,1,4,1,21,13,2,2,94,445097.5,448008.75,443648.75,445268.0,17.5
268,2021-12-25,2,0,13,9,19,2,0,3,12,14,3,0,77,444800.0,447767.5,443772.5,445882.0,20.0
269,2021-12-26,2,5,3,9,14,0,2,1,14,10,4,1,65,444502.5,447526.25,443896.25,446496.0,22.5
270,2021-12-27,2,0,10,8,14,1,1,2,10,18,2,0,68,444205.0,447285.0,444020.0,447110.0,25.0
271,2021-12-28,1,0,9,15,23,1,2,3,14,16,4,0,88,447562.0,452244.0,446405.0,449570.0,15.0
272,2021-12-29,3,0,8,11,25,0,1,2,21,18,3,0,92,452370.0,453499.0,450655.0,452102.0,14.0
273,2021-12-30,1,2,14,21,30,0,4,0,13,11,6,2,104,453728.0,455000.0,452545.0,452700.0,16.0
274,2021-12-31,3,1,8,24,30,3,3,2,23,28,4,0,129,449945.0,455910.0,449945.0,450662.0,15.0
275,2022-01-01,3,3,18,25,41,3,1,3,17,21,6,0,141,450631.6666666667,455540.0,450303.3333333333,451874.6666666667,19.0
276,2022-01-02,6,0,6,16,28,0,3,1,11,14,3,1,89,451318.3333333334,455170.0,450661.6666666666,453087.3333333334,23.0
277,2022-01-03,6,2,7,8,13,1,3,0,28,17,8,1,94,452005.00000000006,454800.0,451020.0,454300.00000000006,27.0
278,2022-01-04,3,4,21,17,29,0,3,3,37,18,5,3,143,458675.0,466195.0,452376.0,465725.0,23.0
279,2022-01-05,4,0,19,16,53,2,4,7,26,14,8,3,156,468500.0,474181.0,466050.0,467274.0,22.0
280,2022-01-06,8,1,38,26,39,1,1,3,17,16,11,1,162,470900.0,473544.0,467236.0,473153.0,19.0
281,2022-01-07,0,3,35,40,54,1,7,2,23,22,10,3,200,474696.0,480888.0,472610.0,480000.0,24.0
282,2022-01-08,0,3,16,16,37,0,3,1,21,11,5,3,116,477730.6666666667,481858.6666666667,472864.3333333333,479055.0,24.666666666666668
283,2022-01-09,3,3,10,22,29,0,1,0,17,9,3,0,97,480765.3333333334,482829.3333333334,473118.6666666666,478110.0,25.333333333333336
284,2022-01-10,5,1,10,31,23,2,3,1,22,11,6,0,115,483800.00000000006,483800.00000000006,473373.0,477165.0,26.000000000000004
285,2022-01-11,7,2,21,16,37,1,2,2,20,14,4,3,129,479353.0,480935.0,473185.0,480340.0,17.0
286,2022-01-12,4,1,6,13,37,0,3,0,23,13,4,0,104,481190.0,483250.0,477094.0,481700.0,17.0
287,2022-01-13,2,1,11,16,45,0,3,0,23,7,7,1,116,482058.0,485800.0,481166.0,483872.0,18.0
288,2022-01-14,5,0,16,15,36,0,6,1,27,17,9,1,133,480280.0,486999.0,476336.0,485379.0,20.0
289,2022-01-15,1,0,14,15,30,0,2,2,11,11,6,0,92,481442.5,487063.0,476648.25,484054.5,22.0
290,2022-01-16,2,1,10,13,18,1,2,2,16,8,4,1,78,482605.0,487127.0,476960.5,482730.0,24.0
291,2022-01-17,4,3,5,10,21,0,4,1,15,10,5,2,80,483767.5,487191.0,477272.75,481405.5,26.0
292,2022-01-18,1,2,11,17,17,0,3,2,24,22,4,1,104,484930.0,487255.0,477585.0,480081.0,28.0
293,2022-01-19,5,2,20,44,32,0,4,3,18,15,2,0,145,483000.0,484850.0,472560.0,473440.0,18.0
294,2022-01-20,2,2,11,26,40,1,9,2,18,20,3,2,136,473973.0,476625.0,466602.0,467390.0,18.0
295,2022-01-21,2,2,16,11,35,4,2,1,17,13,3,0,106,465040.0,466989.0,456623.0,458675.0,23.0
296,2022-01-22,1,0,13,19,27,2,4,1,23,16,3,1,110,459804.3333333333,463992.3333333333,452748.6666666667,458083.6666666667,27.666666666666668
297,2022-01-23,1,2,5,29,26,1,4,4,8,15,5,1,101,454568.6666666666,460995.6666666666,448874.3333333334,457492.3333333334,32.333333333333336
298,2022-01-24,8,2,19,9,26,0,7,5,17,18,8,0,119,449333.0,457999.0,445000.00000000006,456901.00000000006,37.0
299,2022-01-25,7,4,18,9,106,0,3,0,19,27,15,2,210,453012.0,464728.0,443402.0,461919.0,21.0
300,2022-01-26,5,3,12,14,62,0,5,3,22,12,5,1,144,466162.0,470770.0,460206.0,463652.0,20.0
301,2022-01-27,3,1,18,11,34,2,2,3,10,15,11,0,110,469000.0,473900.0,458201.0,461200.0,19.0
302,2022-01-28,1,2,19,33,58,2,3,3,18,19,4,0,162,462560.0,469880.0,456281.0,469880.0,20.0
303,2022-01-29,4,1,7,14,27,1,5,3,12,12,9,2,97,464261.6666666667,470166.3333333333,458237.6666666667,469855.0,22.0
304,2022-01-30,2,2,30,10,18,1,4,3,14,10,3,1,98,465963.3333333334,470452.6666666666,460194.3333333334,469830.0,24.0
305,2022-01-31,2,2,14,13,22,1,0,3,27,16,6,3,109,467665.00000000006,470739.0,462151.00000000006,469805.0,26.0
306,2022-02-01,3,3,13,25,34,1,4,1,21,19,7,1,132,469465.0,471888.0,465460.0,471184.0,19.0
307,2022-02-02,4,2,19,18,31,2,2,2,16,17,5,2,120,470620.0,480400.0,469001.0,479500.0,19.0
308,2022-02-03,1,3,57,23,24,5,3,3,22,21,7,2,171,478840.0,481029.0,472081.0,472536.0,16.0
309,2022-02-04,23,3,27,37,40,2,6,4,24,19,7,1,193,471990.0,476888.0,469101.0,473364.0,20.0
310,2022-02-05,4,3,27,7,27,3,4,1,9,13,2,1,101,472693.3333333333,477042.0,468818.3333333333,473876.0,20.0
311,2022-02-06,1,1,7,5,27,2,4,0,17,9,5,0,78,473396.6666666666,477196.0,468535.6666666666,474388.0,20.0
312,2022-02-07,2,10,11,37,26,1,3,4,20,14,6,2,136,474100.0,477350.0,468253.0,474900.0,20.0
313,2022-02-08,5,9,15,19,42,4,7,3,24,12,2,0,142,477670.0,484200.0,474112.0,482030.0,17.0
314,2022-02-09,2,1,12,24,33,0,3,0,23,26,2,0,126,485650.0,488400.0,482502.0,483900.0,18.0
315,2022-02-10,4,4,25,14,26,12,2,2,17,18,3,2,129,481000.0,483726.0,478000.0,480105.0,18.0
316,2022-02-11,4,3,25,15,40,3,6,5,20,18,9,0,148,481068.0,484850.0,476886.0,479370.0,16.0
317,2022-02-12,1,1,8,14,29,1,1,1,14,14,8,0,92,480448.0,483584.6666666667,474111.6666666667,477050.0,18.0
318,2022-02-13,0,7,6,6,22,1,3,2,12,9,3,1,72,479828.0,482319.3333333334,471337.3333333334,474730.0,20.0
319,2022-02-14,2,1,16,14,39,1,1,2,19,20,3,1,119,479208.0,481054.00000000006,468563.00000000006,472410.0,22.0
320,2022-02-15,10,6,35,42,101,2,17,8,34,24,14,1,294,475390.0,476980.0,472456.0,473980.0,15.0
321,2022-02-16,14,6,64,44,129,1,11,17,46,46,19,0,397,472983.0,475780.0,471401.0,474444.0,13.0
322,2022-02-17,41,8,62,78,147,7,19,20,52,49,12,1,496,474829.0,474829.0,469182.0,470655.0,14.0
323,2022-02-18,20,4,28,61,249,0,5,13,35,40,15,0,470,471528.0,473920.0,469091.0,472257.0,15.0
324,2022-02-19,3,5,15,26,40,1,3,3,35,22,4,1,158,471329.25,473805.0,468382.5,472047.25,17.25
325,2022-02-20,4,2,11,7,39,0,2,2,13,15,9,3,107,471130.5,473690.0,467674.0,471837.5,19.5
326,2022-02-21,5,1,13,28,39,0,2,3,19,19,5,0,134,470931.75,473575.0,466965.5,471627.75,21.75
327,2022-02-22,7,4,12,13,54,1,5,6,22,15,3,0,142,470733.0,473460.0,466257.0,471418.0,24.0
328,2022-02-23,9,1,15,12,44,3,0,0,20,18,12,0,134,474975.0,475989.0,464400.0,465515.0,17.0
329,2022-02-24,6,6,12,14,33,1,8,2,17,14,4,3,120,452928.0,463490.0,450000.0,462110.0,28.0
330,2022-02-25,5,3,17,16,89,2,5,3,19,9,4,0,172,467598.0,482579.0,465326.0,479345.0,22.0
331,2022-02-26,10,8,91,149,296,8,4,1,36,24,16,3,646,470632.0,482932.0,468194.0,478298.3333333333,22.666666666666668
332,2022-02-27,1,8,45,51,127,12,5,3,34,22,7,1,316,473666.0,483285.0,471062.0,477251.6666666666,23.333333333333336
333,2022-02-28,4,7,55,56,80,6,9,3,19,22,13,3,277,476700.0,483638.0,473930.0,476205.0,24.000000000000004
334,2022-03-01,3,3,20,25,43,1,3,2,23,21,7,0,151,482000.0,482151.0,470645.0,475879.0,18.0
335,2022-03-02,4,1,12,25,37,2,4,2,23,15,2,1,128,479175.0,488765.0,477091.0,486109.0,16.0
336,2022-03-03,6,1,16,19,45,2,3,2,16,18,10,0,138,490797.0,494420.0,485855.0,491245.0,19.0
337,2022-03-04,3,6,16,19,56,0,6,3,28,18,3,0,158,485375.0,488298.0,480341.0,487440.0,20.0
338,2022-03-05,5,5,26,26,106,89,3,6,24,24,8,0,322,487263.0,489551.6666666667,480523.3333333333,486469.0,21.33333333333333
339,2022-03-06,3,3,9,15,49,32,1,2,17,13,7,1,152,489151.0,490805.3333333334,480705.6666666666,485498.0,22.666666666666664
340,2022-03-07,6,2,13,27,89,11,6,4,26,24,14,1,223,491039.0,492059.00000000006,480888.0,484527.0,24.0
341,2022-03-08,3,3,11,21,49,2,6,1,23,23,6,2,150,486690.0,491500.0,476921.0,478025.0,20.0
342,2022-03-09,2,3,11,24,35,3,7,1,24,18,13,0,141,491339.0,491550.0,484184.0,488245.0,17.0
343,2022-03-10,3,1,22,26,23,2,2,3,11,7,11,0,111,484252.0,490800.0,482520.0,487820.0,16.0
344,2022-03-11,3,2,17,20,40,1,2,6,30,21,9,0,151,490155.0,497333.0,488551.0,489802.0,18.0
345,2022-03-12,8,4,11,13,65,17,9,2,27,18,8,2,184,491432.6666666667,498229.6666666667,489683.0,491129.6666666667,21.666666666666668
346,2022-03-13,1,0,10,30,36,1,6,1,23,11,3,1,123,492710.3333333334,499126.3333333334,490815.0,492457.3333333334,25.333333333333336
347,2022-03-14,5,2,19,38,69,2,5,2,27,18,5,1,193,493988.00000000006,500023.00000000006,491947.0,493785.00000000006,29.000000000000004
348,2022-03-15,11,5,31,33,106,3,8,2,34,20,10,1,264,498673.0,501939.0,494023.0,498160.0,26.0
349,2022-03-16,3,1,29,27,125,3,5,3,24,19,11,0,250,502201.0,506029.0,497613.0,504036.0,25.0
350,2022-03-17,10,3,32,51,214,13,10,4,29,52,16,2,436,505385.0,518438.0,503641.0,518438.0,29.0
351,2022-03-18,12,4,24,22,84,4,3,6,24,23,9,3,218,515731.0,520654.0,508853.0,512991.0,35.0
352,2022-03-19,2,1,10,26,40,0,5,1,22,16,3,0,126,516231.0,522680.3333333333,511225.3333333333,516994.0,34.333333333333336
353,2022-03-20,1,1,9,16,21,1,0,0,8,19,4,1,81,516731.0,524706.6666666666,513597.6666666666,520997.0,33.66666666666667
354,2022-03-21,10,3,44,89,523,4,7,4,46,47,32,3,812,517231.0,526733.0,515970.0,525000.0,33.00000000000001
355,2022-03-22,9,13,34,48,90,0,10,2,40,23,7,4,280,526201.0,532530.0,523500.0,525854.0,37.0
356,2022-03-23,3,4,22,24,59,1,5,3,25,35,8,2,191,523066.0,528015.0,519151.0,521781.0,30.0
357,2022-03-24,6,2,11,12,43,1,6,0,20,18,4,3,126,528414.0,528817.0,523778.0,528817.0,21.0
358,2022-03-25,6,4,34,38,58,1,3,2,29,19,8,2,204,531088.0,538949.0,529981.0,538949.0,26.0
359,2022-03-26,5,3,21,23,38,2,3,2,17,17,6,0,137,534363.0,540632.6666666666,531102.3333333334,539026.0,30.0
360,2022-03-27,4,3,14,59,25,1,4,3,20,14,3,1,151,537638.0,542316.3333333333,532223.6666666667,539103.0,34.0
361,2022-03-28,0,2,21,31,37,3,3,1,19,24,6,0,147,540913.0,543999.9999999999,533345.0000000001,539180.0,38.0
362,2022-03-29,3,2,19,23,40,1,3,0,23,22,3,2,141,544389.0,544389.0,528750.0,532011.0,37.0
363,2022-03-30,4,4,33,22,33,0,4,1,17,16,8,0,142,531305.0,537371.0,527650.0,536440.0,23.0
364,2022-03-31,0,3,31,25,48,0,6,5,17,17,8,1,161,538660.0,540420.0,528921.0,528921.0,23.0
